parameter,value,unit,low,high,source,accessed
e_elec,1.25,kWh/km at the battery,1.15,1.45,"Le Corguille, Hacker and Dolinga (2025), 'Real-world data analysis of battery electric trucks operating in Germany', EVS38: 19 vehicles, 807 driving events, Sept 2023 - Jan 2025, fleet mean 0.96 kWh/km at a mean gross combination weight of 20.4 t over an 11-40 t range, rising 0.18 kWh/km per additional 10 t; consumption measured at the vehicle, EXCLUDING charging losses. Two anchors are available at the 40 t gross weight of a container tractor-semitrailer and we use both. (a) The study's own regression: 0.96 + 0.18*(40-20.4)/10 = 1.31 kWh/km, an extrapolation beyond the mean of the observed weight range though inside it. (b) The study's own long-haul reference case, a 38 t tractor-semitrailer measured at 1.15 kWh/km over 4,439 km, adjusted to 40 t by the same gradient: 1.19 kWh/km. We take 1.25 kWh/km, between the two, and a range of 1.15-1.45 spanning the lower anchor to the regression value plus its own residual spread. Grid-side consumption is this figure divided by charger_efficiency.",2026-09-10
f_diesel,0.340,L/km,0.300,0.380,Heavy tractor-semitrailer motorway fuel consumption of 30-38 L/100 km (EcoTransIT World Methodology Update 2024; ICCT heavy-duty fleet data); 0.34 L/km is the mid-point for a laden 40 t combination.,2026-09-09
platoon_saving,0.055,fraction of traction energy,0.030,0.070,"NACFE Confidence Report Two-Truck Platooning: lead truck ~4%, following truck ~10%, two-truck track average ~7% at a 40-50 ft gap, with a recommended derate of about one quarter for congestion, terrain and weather. We apply the derate to the saving (7% -> 5.5%) and represent the remaining half of NACFE's adjustment, the share of running time actually spent in a platoon, separately through the platoonable-share cap below. NACFE's headline real-world figure of about 4% is reproduced by the product of the two.",2026-09-09
ef_diesel_ttw,2.680,kgCO2/L,2.640,2.700,Standard tank-to-wheel combustion factor for automotive diesel (EcoTransIT World Methodology Update 2024; UK DESNZ/DEFRA conversion factors).,2026-09-09
ef_diesel_wtw,3.200,kgCO2/L,3.100,3.300,Well-to-wheel diesel factor including upstream production and distribution (approx. +19% over tank-to-wheel; EcoTransIT World Methodology Update 2024).,2026-09-09
scc,0.190,USD/kgCO2,0.120,0.340,"US EPA (2023) Report on the Social Cost of Greenhouse Gases, Table ES.1, 2020 emissions: USD 120/tCO2 at a 2.5% near-term Ramsey discount rate, USD 190 at 2.0% (the central value used here) and USD 340 at 1.5%. The low and high bounds are the 2.5% and 1.5% estimates.",2026-09-09
circuity,1.25,dimensionless,1.00,1.40,"Road-circuity factor applied to the great-circle distance between published node coordinates. It is FITTED, one factor per corridor, to a single reference pair whose driving distance is published; it is therefore a calibration and not an independent validation, and individual arcs deviate from it. See DATA_SOURCES.md section 5.",2026-09-09
wage,0.32,USD/km,0.20,1.20,Focal-case (India) road-haulage operating cost per truck-kilometre excluding fuel; country-specific values are given in data/energy_regimes.csv.,2026-09-09
c_platoon,2.00,USD/truck-arc,0.50,8.00,"Platoon formation and synchronisation cost per participating truck per arc (matching delay, gap-keeping telematics subscription and dispatch overhead). Calibrated so that platooning is marginal on short arcs and profitable on long arcs at the observed NACFE energy saving; varied over 0.5-8.0 USD in the sensitivity analysis.",2026-09-09
charger_module_kwh,2000.0,kWh/day per module,,,One 350 kW charging bay operated ~6 h/day at 95% availability; capacity is procured in whole bays.,2026-09-09
charger_capex,26000.0,USD/yr per module,18000.0,40000.0,"Annualised cost of one 350 kW public heavy-duty charging bay including grid connection, over a 10-year life at 8%.",2026-09-09
electrify_capex_fixed,120000.0,USD/yr per arc,80000.0,200000.0,"Annualised fixed cost of making an arc chargeable: site acquisition, HV connection and substation works, over a 15-year life at 8%.",2026-09-09
electrify_capex_km,900.0,USD/yr per km,600.0,1400.0,"Distance-proportional component of corridor electrification: a long arc needs more than one charging site, so the number of sites scales with arc length at roughly one per 100 km. At about USD 1.0 M of site capital, annualised over 15 years at 8%, this is of the order of 1,000 USD/yr per km of corridor. It is NOT the cost of building medium-voltage line along the arc.",2026-09-09
grid_stress_weight,0.020,USD/kWh,0.000,0.060,Shadow value of peak grid load (network reinforcement deferral value) applied to charging drawn in stressed states.,2026-09-09
unmet_penalty,900.0,USD/container,400.0,2000.0,"Service-level failure cost per undelivered container (demurrage, detention and lost margin).",2026-09-09
platoon_share_cap,0.75,fraction of trucks on an arc,0.50,0.95,Largest share of the trucks on an arc that can be matched into a platoon. NACFE's real-world derate assumes roughly three quarters of running time is spent platooning; a lone truck cannot platoon and not every truck finds a partner. Varied over 0.50-0.95.,2026-09-09
charger_efficiency,0.92,"fraction, grid to battery",0.88,0.95,"The electric consumption figure above is measured at the vehicle and excludes charging losses, so energy drawn from the corridor's chargers is larger than traction energy by the reciprocal of this efficiency. 0.88-0.95 spans AC and DC fast charging including rectifier and battery-side losses; 0.92 is a mid-range DC value. This parameter is what makes the charge, the emissions and the charging-capacity sizing refer to metered grid energy rather than to battery energy; omitting it, as an earlier version of this study did, understates all three in the direction that favours electrification.",2026-09-10
